"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","2018","24 years","Both sexes","Number","55515"
"Population estimates from 1926","2018","24 years","Male","Number","28036"
"Population estimates from 1926","2018","24 years","Female","Number","27479"
"Population estimates from 1926","2018","25 years","Both sexes","Number","55332"
"Population estimates from 1926","2018","25 years","Male","Number","28174"
"Population estimates from 1926","2018","25 years","Female","Number","27158"
"Population estimates from 1926","2018","26 years","Both sexes","Number","56818"
"Population estimates from 1926","2018","26 years","Male","Number","28372"
"Population estimates from 1926","2018","26 years","Female","Number","28446"
"Population estimates from 1926","2018","27 years","Both sexes","Number","59564"
"Population estimates from 1926","2018","27 years","Male","Number","30028"
"Population estimates from 1926","2018","27 years","Female","Number","29536"
"Population estimates from 1926","2018","28 years","Both sexes","Number","58408"
"Population estimates from 1926","2018","28 years","Male","Number","28904"
"Population estimates from 1926","2018","28 years","Female","Number","29504"
"Population estimates from 1926","2018","29 years","Both sexes","Number","63268"
"Population estimates from 1926","2018","29 years","Male","Number","31128"
"Population estimates from 1926","2018","29 years","Female","Number","32140"
"Population estimates from 1926","2018","30 years","Both sexes","Number","61237"
"Population estimates from 1926","2018","30 years","Male","Number","29527"
"Population estimates from 1926","2018","30 years","Female","Number","31710"
"Population estimates from 1926","2018","31 years","Both sexes","Number","64321"
"Population estimates from 1926","2018","31 years","Male","Number","30933"
"Population estimates from 1926","2018","31 years","Female","Number","33388"
"Population estimates from 1926","2018","32 years","Both sexes","Number","69444"
"Population estimates from 1926","2018","32 years","Male","Number","33338"
"Population estimates from 1926","2018","32 years","Female","Number","36106"
"Population estimates from 1926","2018","33 years","Both sexes","Number","69707"
"Population estimates from 1926","2018","33 years","Male","Number","33505"
"Population estimates from 1926","2018","33 years","Female","Number","36202"
"Population estimates from 1926","2018","34 years","Both sexes","Number","72992"
"Population estimates from 1926","2018","34 years","Male","Number","34894"
"Population estimates from 1926","2018","34 years","Female","Number","38098"
"Population estimates from 1926","2018","35 years","Both sexes","Number","76821"
"Population estimates from 1926","2018","35 years","Male","Number","36563"
"Population estimates from 1926","2018","35 years","Female","Number","40258"
"Population estimates from 1926","2018","36 years","Both sexes","Number","78768"
"Population estimates from 1926","2018","36 years","Male","Number","37796"
"Population estimates from 1926","2018","36 years","Female","Number","40972"
"Population estimates from 1926","2018","37 years","Both sexes","Number","82426"
"Population estimates from 1926","2018","37 years","Male","Number","40186"
"Population estimates from 1926","2018","37 years","Female","Number","42240"
"Population estimates from 1926","2018","38 years","Both sexes","Number","84253"
"Population estimates from 1926","2018","38 years","Male","Number","41340"
"Population estimates from 1926","2018","38 years","Female","Number","42913"
"Population estimates from 1926","2018","39 years","Both sexes","Number","78365"
"Population estimates from 1926","2018","39 years","Male","Number","38041"
"Population estimates from 1926","2018","39 years","Female","Number","40324"
"Population estimates from 1926","2018","40 years","Both sexes","Number","75684"
"Population estimates from 1926","2018","40 years","Male","Number","37234"
"Population estimates from 1926","2018","40 years","Female","Number","38450"
"Population estimates from 1926","2018","41 years","Both sexes","Number","74060"
"Population estimates from 1926","2018","41 years","Male","Number","36434"
"Population estimates from 1926","2018","41 years","Female","Number","37626"
"Population estimates from 1926","2018","42 years","Both sexes","Number","74760"
"Population estimates from 1926","2018","42 years","Male","Number","37070"
"Population estimates from 1926","2018","42 years","Female","Number","37690"
"Population estimates from 1926","2018","43 years","Both sexes","Number","73577"
"Population estimates from 1926","2018","43 years","Male","Number","36333"
"Population estimates from 1926","2018","43 years","Female","Number","37244"
"Population estimates from 1926","2018","44 years","Both sexes","Number","72963"
"Population estimates from 1926","2018","44 years","Male","Number","36086"
"Population estimates from 1926","2018","44 years","Female","Number","36877"
"Population estimates from 1926","2018","45 years","Both sexes","Number","72203"
"Population estimates from 1926","2018","45 years","Male","Number","35964"
"Population estimates from 1926","2018","45 years","Female","Number","36239"
"Population estimates from 1926","2018","46 years","Both sexes","Number","70006"
"Population estimates from 1926","2018","46 years","Male","Number","34814"
"Population estimates from 1926","2018","46 years","Female","Number","35192"
"Population estimates from 1926","2018","47 years","Both sexes","Number","70336"
"Population estimates from 1926","2018","47 years","Male","Number","35154"
"Population estimates from 1926","2018","47 years","Female","Number","35182"
"Population estimates from 1926","2018","48 years","Both sexes","Number","67136"
"Population estimates from 1926","2018","48 years","Male","Number","33511"
"Population estimates from 1926","2018","48 years","Female","Number","33625"
"Population estimates from 1926","2018","49 years","Both sexes","Number","63802"
"Population estimates from 1926","2018","49 years","Male","Number","32051"
"Population estimates from 1926","2018","49 years","Female","Number","31751"
"Population estimates from 1926","2018","50 years","Both sexes","Number","63061"
"Population estimates from 1926","2018","50 years","Male","Number","31381"
"Population estimates from 1926","2018","50 years","Female","Number","31680"
"Population estimates from 1926","2018","51 years","Both sexes","Number","61808"
"Population estimates from 1926","2018","51 years","Male","Number","30812"
"Population estimates from 1926","2018","51 years","Female","Number","30996"
"Population estimates from 1926","2018","52 years","Both sexes","Number","61922"
"Population estimates from 1926","2018","52 years","Male","Number","30710"
"Population estimates from 1926","2018","52 years","Female","Number","31212"
"Population estimates from 1926","2018","53 years","Both sexes","Number","61700"
"Population estimates from 1926","2018","53 years","Male","Number","30417"
"Population estimates from 1926","2018","53 years","Female","Number","31283"
"Population estimates from 1926","2018","54 years","Both sexes","Number","60141"
"Population estimates from 1926","2018","54 years","Male","Number","29651"
"Population estimates from 1926","2018","54 years","Female","Number","30490"
"Population estimates from 1926","2018","55 years","Both sexes","Number","58737"
"Population estimates from 1926","2018","55 years","Male","Number","28924"
"Population estimates from 1926","2018","55 years","Female","Number","29813"
"Population estimates from 1926","2018","56 years","Both sexes","Number","56850"
"Population estimates from 1926","2018","56 years","Male","Number","28178"
"Population estimates from 1926","2018","56 years","Female","Number","28672"
"Population estimates from 1926","2018","57 years","Both sexes","Number","57018"
